Zeit [ms]	Zahlenwert	METEX-Wert	Zeit[min]	T'[K]
32	-8.76	~DC-008.76  mV	0.000533333	-1.355988
2044	-8.73	DC-008.73  mV	0.034066667	-1.347549
4056	-8.76	DC-008.76  mV	0.0676	-1.355988
6069	-8.71	DC-008.71  mV	0.10115	-1.341923
8097	-8.69	DC-008.69  mV	0.13495	-1.336297
10094	-8.68	DC-008.68  mV	0.168233333	-1.333484
12122	-8.68	DC-008.68  mV	0.202033333	-1.333484
14150	-8.64	DC-008.64  mV	0.235833333	-1.322232
16146	-8.7	DC-008.70  mV	0.2691	-1.33911
18159	-8.68	DC-008.68  mV	0.30265	-1.333484
20187	-8.66	DC-008.66  mV	0.33645	-1.327858
22184	-8.72	DC-008.72  mV	0.369733333	-1.344736
24196	-8.69	DC-008.69  mV	0.403266667	-1.336297
26208	-8.61	DC-008.61  mV	0.4368	-1.313793
28221	-8.64	DC-008.64  mV	0.47035	-1.322232
30233	-8.63	DC-008.63  mV	0.503883333	-1.319419
32230	-8.57	DC-008.57  mV	0.537166667	-1.302541
34258	-8.65	DC-008.65  mV	0.570966667	-1.325045
36270	-8.59	DC-008.59  mV	0.6045	-1.308167
38283	-8.61	DC-008.61  mV	0.63805	-1.313793
40295	-8.6	DC-008.60  mV	0.671583333	-1.31098
42308	-8.58	DC-008.58  mV	0.705133333	-1.305354
44320	-8.58	DC-008.58  mV	0.738666667	-1.305354
46317	-8.59	DC-008.59  mV	0.77195	-1.308167
48345	-8.59	DC-008.59  mV	0.80575	-1.308167
50357	-8.55	DC-008.55  mV	0.839283333	-1.296915
52370	-8.52	DC-008.52  mV	0.872833333	-1.288476
54382	-8.51	DC-008.51  mV	0.906366667	-1.285663
56394	-8.54	DC-008.54  mV	0.9399	-1.294102
58407	-8.54	DC-008.54  mV	0.97345	-1.294102
60404	-8.54	DC-008.54  mV	1.006733333	-1.294102
62432	-8.55	DC-008.55  mV	1.040533333	-1.296915
64444	-8.55	DC-008.55  mV	1.074066667	-1.296915
66441	-8.6	DC-008.60  mV	1.10735	-1.31098
68531	-8.5	DC-008.50  mV	1.142183333	-1.28285
70544	-8.49	DC-008.49  mV	1.175733333	-1.280037
72556	-8.46	DC-008.46  mV	1.209266667	-1.271598
74553	-8.45	DC-008.45  mV	1.24255	-1.268785
76581	-8.43	DC-008.43  mV	1.27635	-1.263159
78593	-8.51	DC-008.51  mV	1.309883333	-1.285663
